date,ue
2007.2799,-0.096767
2007.2827,-0.094967
2007.2854,-0.100809
2007.2882,-0.098253
2007.2909,-0.098306
2007.2936,-0.094585
2007.2964,-0.096757
2007.2991,-0.096075
2007.3018,-0.094369
2007.3046,-0.097501
2007.3073,-0.099458
2007.3101,-0.096964
2007.3128,-0.093524
2007.3155,-0.096701
2007.3183,-0.09395
2007.321,-0.09554
2007.3238,-0.095234
2007.3265,-0.097081
2007.3292,-0.09727
2007.332,-0.096603
2007.3347,-0.098391
2007.3374,-0.096218
2007.3402,-0.0972
2007.3429,-0.093249
2007.3457,-0.098081
2007.3484,-0.099304
2007.3511,-0.09678
2007.3539,-0.096496
2007.3566,-0.096596
2007.3593,-0.099283
2007.3621,-0.096613
2007.3648,-0.09883
2007.3676,-0.097795
2007.3703,-0.098688
2007.373,-0.10076
2007.3758,-0.100644
2007.3785,-0.097928
2007.3812,-0.099992
2007.384,-0.100661
2007.3867,-0.100683
2007.3895,-0.100035
2007.3922,-0.095981
2007.3949,-0.096302
2007.3977,-0.09799
2007.4004,-0.098167
2007.4031,-0.098822
2007.4059,-0.099135
2007.4086,-0.099873
2007.4114,-0.100244
2007.4141,-0.097455
2007.4168,-0.096334
2007.4196,-0.099887
2007.4223,-0.098362
2007.4251,-0.098435
2007.4278,-0.10325
2007.4305,-0.102925
2007.4333,-0.100023
2007.436,-0.100661
2007.4387,-0.101288
2007.4415,-0.094966
2007.4442,-0.101635
2007.447,-0.098432
2007.4497,-0.098658
2007.4524,-0.098144
2007.4552,-0.099675
2007.4579,-0.100017
2007.4606,-0.0988
2007.4634,-0.099773
2007.4661,-0.098429
2007.4689,-0.099755
2007.4716,-0.09753
2007.4743,-0.096752
2007.4771,-0.097637
2007.4798,-0.095766
2007.4825,-0.095662
2007.4853,-0.096243
2007.488,-0.097377
2007.4908,-0.097414
2007.4935,-0.096965
2007.4962,-0.095452
2007.499,-0.094358
2007.5017,-0.092905
2007.5044,-0.092378
2007.5072,-0.090755
2007.5099,-0.09423
2007.5127,-0.095863
2007.5154,-0.097641
2007.5181,-0.095099
2007.5209,-0.095921
2007.5236,-0.095593
2007.5264,-0.093752
2007.5291,-0.094508
2007.5318,-0.09878
2007.5346,-0.098665
2007.5373,-0.095653
2007.54,-0.09449
2007.5428,-0.097149
2007.5455,-0.098474
2007.5483,-0.097968
2007.551,-0.09708
2007.5537,-0.096151
2007.5565,-0.098908
2007.5592,-0.10165
2007.5619,-0.101298
2007.5647,-0.100529
2007.5674,-0.101239
2007.5702,-0.101368
2007.5729,-0.103941
2007.5756,-0.09995
2007.5784,-0.100933
2007.5811,-0.102651
2007.5838,-0.102452
2007.5866,-0.101446
2007.5893,-0.103574
2007.5921,-0.100869
2007.5948,-0.098906
2007.5975,-0.097854
2007.6003,-0.099856
2007.603,-0.102383
2007.6057,-0.103733
2007.6085,-0.103081
2007.6112,-0.102068
2007.614,-0.101152
2007.6167,-0.097121
2007.6194,-0.104672
2007.6222,-0.098074
2007.6249,-0.099092
2007.6277,-0.103629
2007.6304,-0.102573
2007.6331,-0.103186
2007.6359,-0.102733
2007.6386,-0.101064
2007.6413,-0.103786
2007.6441,-0.100871
2007.6468,-0.101675
2007.6496,-0.100686
2007.6523,-0.101674
2007.655,-0.100913
2007.6578,-0.096549
2007.6605,-0.098633
2007.6632,-0.098227
2007.666,-0.101749
2007.6687,-0.099913
2007.6715,-0.101695
2007.6742,-0.100544
2007.6769,-0.100413
2007.6797,-0.100634
2007.6824,-0.101767
2007.6851,-0.102707
2007.6879,-0.101799
2007.6906,-0.106095
2007.6934,-0.102389
2007.6961,-0.105054
2007.6988,-0.101569
2007.7016,-0.10405
2007.7043,-0.105516
2007.707,-0.103364
2007.7098,-0.10541
2007.7125,-0.100612
2007.7153,-0.106337
2007.718,-0.103048
2007.7207,-0.099914
2007.7235,-0.100627
2007.7262,-0.10054
2007.729,-0.097441
2007.7317,-0.099465
2007.7344,-0.101971
2007.7372,-0.106354
2007.7399,-0.106822
2007.7426,-0.102951
2007.7454,-0.104444
2007.7481,-0.10636
2007.7509,-0.106464
2007.7536,-0.107133
2007.7563,-0.105159
2007.7591,-0.107172
2007.7618,-0.106187
2007.7645,-0.108133
2007.7673,-0.104041
2007.77,-0.103079
2007.7728,-0.10797
2007.7755,-0.107065
2007.7782,-0.111393
2007.781,-0.110741
2007.7837,-0.107555
2007.7864,-0.111446
2007.7892,-0.109523
2007.7919,-0.106051
2007.7947,-0.107256
2007.7974,-0.1077
2007.8001,-0.10735
2007.8029,-0.108445
2007.8056,-0.105635
2007.8084,-0.104271
2007.8111,-0.105857
2007.8138,-0.111282
2007.8166,-0.104418
2007.8193,-0.106757
2007.822,-0.111371
2007.8248,-0.110013
2007.8275,-0.112421
2007.8303,-0.108788
2007.833,-0.109741
2007.8357,-0.106039
2007.8385,-0.108013
2007.8412,-0.110088
2007.8439,-0.10438
2007.8467,-0.11058
2007.8494,-0.112003
2007.8522,-0.113567
2007.8549,-0.111904
2007.8576,-0.112569
2007.8604,-0.111304
2007.8631,-0.109396
2007.8658,-0.11024
2007.8686,-0.107526
2007.8713,-0.108135
2007.8741,-0.111741
2007.8768,-0.112987
2007.8795,-0.109621
2007.8823,-0.114195
2007.885,-0.111615
2007.8877,-0.111531
2007.8905,-0.109247
2007.8932,-0.104523
2007.896,-0.10575
2007.8987,-0.108767
2007.9014,-0.104445
2007.9042,-0.105981
2007.9069,-0.104125
2007.9097,-0.103836
2007.9124,-0.109611
2007.9151,-0.105762
2007.9179,-0.10516
2007.9206,-0.106219
2007.9233,-0.107653
2007.9261,-0.113374
2007.9288,-0.11264
2007.9316,-0.116471
